Funzione integranda = sin(x) 
Intervallo di integrazione = [ 0 , 3.1415926535897931 ] 
Soluzione esatta =   2 

 m 	  Integrale 		  Errore 

   2  2.0943951023931953 9.4395e-002 
   4  2.0045597549844207 4.5598e-003 
   6  2.0008631896735363 8.6319e-004 
   8  2.0002691699483881 2.6917e-004 
  10  2.0001095173150043 1.0952e-004 
  12  2.0000526243411856 5.2624e-005 
  14  2.0000283435514690 2.8344e-005 
  16  2.0000165910479355 1.6591e-005 
  18  2.0000103477057749 1.0348e-005 
  20  2.0000067844418008 6.7844e-006 
  22  2.0000046314984745 4.6315e-006 
  24  2.0000032688771596 3.2689e-006 
  26  2.0000023725694644 2.3726e-006 
  28  2.0000017635025444 1.7635e-006 
  30  2.0000013379479493 1.3379e-006 
  32  2.0000010333694127 1.0334e-006 
  34  2.0000008107424243 8.1074e-007 
  36  2.0000006449719776 6.4497e-007 
  38  2.0000005194886716 5.1949e-007 
  40  2.0000004230931823 4.2309e-007 
